"id","name","latitude","longitude","price_level","rating","review_count","distance","neigh_id","neighbourhood","type","cuisine","size_level"
"LWI8ULsw0X1FpInux4Tg5Q","Martino's Pizza & Asian Fusion Kitchen",43.675568,-79.4036442,"Medium",3.8,50,3665.35669619222,"095","Annex","Street Food","East Asian","Single Location"
"ttuEwktrkmh3TUlSFPZqAA","Banh Mi Boys",43.6571516683436,-79.3808931703301,"Low",4.1,530,3570.12246565653,"168","Downtown Yonge East","Other","East Asian","Small Chain"
"7pUj3i1KjCE5jEgcqhccng","ON/OFF",43.777683,-79.41466,"Medium",4.4,65,14715.9588841221,"151","Yonge-Doris","Bar","East Asian","Single Location"
"vQGZjrDiDBuznOkUevBNzw","Los Vietnamita Taqueria Shop",43.7054433643552,-79.3136256560683,NA,4.4,37,10988.8016503457,"054","O'Connor-Parkview","Other","East Asian","Single Location"
"ZhACHVw9k438Z3i-Gw9BHA","Banh Mi Boys",43.7092,-79.39857,"Low",4.2,130,7333.47531505779,"173","North Toronto","Other","East Asian","Small Chain"
"NyQey4tR7en-l24ChgYEag","Food & Liquor",43.6396914930533,-79.4418681207147,"Medium",3.9,26,1706.1736614485,"086","Roncesvalles","Bar","East Asian","Single Location"
"bLtC8xJXkd1b6MT0KjnSvw","The Captain's Boil",43.66237,-79.38378,"Medium",3.4,242,3615.56089786615,"169","Bay-Cloverhill","Other","East Asian","Medium Chain"
"5-b5tD7VLlDwundbe85l7A","Sukhothai",43.6538304437445,-79.3544602345607,NA,3.1,59,5530.95278007522,"166","St Lawrence-East Bayfront-The Islands","Other","East Asian","Single Location"
"AakkkTuGZA2KBodKi2_u8A","Pho Phuong Vietnamese Restaurant ",43.64967,-79.43513,"Medium",3.3,68,1137.60021482812,"084","Little Portugal","Other","East Asian","Single Location"
"KAyQ07GqrfP1VW5MhxvEHg","Cafe Pho Nho",43.65219,-79.44751,"Low",3.7,84,2172.64421348755,"086","Roncesvalles","Bar","East Asian","Single Location"
"ctTiEiUTY_FvnZ0ovBeZWQ","Ho Ga Oriental Cuisine",43.64768,-79.38294,"Low",4,44,3163.20698398933,"170","Yonge-Bay Corridor","Other","East Asian","Single Location"
"tCJjzxEcTWwdqIpIvZEP-g","Yummy House",43.66954,-79.3359,"Low",4.3,17,7442.50015528428,"070","South Riverdale","Fast Food","East Asian","Single Location"
"3cAy1gxlprn1ue0q3L_ziw","Lee Chen Bistro",43.672372,-79.387436,"Medium",3.6,183,4096.42878142303,"098","Rosedale-Moore Park","Bar","East Asian","Single Location"
"EwWXzIUdEWFT2CUJJBbGRg","Thien Tam Restaurant",43.665229,-79.466295,NA,4.3,3,4161.18365125821,"090","Junction Area","Other","East Asian","Single Location"
"a_gJI14yubijGv2fTUDv6w","Chillax Eatery & Mart",43.7584367078675,-79.4097755,NA,4.5,6,12601.0934711937,"153","Avondale","Brunch/Breakfast","East Asian","Single Location"
"K3aA7iJGoYsJh0cl8O1w-w","Thairoomgrand - Etobicoke",43.6446667,-79.5329271,NA,4.7,19,8907.88305837823,"158","Islington","Other","East Asian","Single Location"
"0uEidTfcs-9GAMJXLvIYTw","Blooming Orchid",43.70327,-79.41388,NA,4.4,29,6457.20192649908,"101","Forest Hill South","Bar","East Asian","Single Location"
"mBe1a6rjq5d0bbWl6rRDZg","Neon Tiger",43.67726,-79.39828,NA,4.2,6,4024.53498044335,"095","Annex","Other","East Asian","Single Location"
"1mXyISSj1oZKr25BW236aA","Makan",43.64996,-79.3891,NA,3.4,13,2708.65009145437,"164","Wellington Place","Other","East Asian","Single Location"
"e178giuAicIhb16ymOtiBg","R&D Restaurant",43.651598,-79.397212,"High",3.6,324,2124.81432666174,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"TMn3xLDiI9_y-AgTYb1gSA","The Captain's Boil",43.71582,-79.39989,NA,4,41,8023.80523151018,"099","Mount Pleasant East","Other","East Asian","Medium Chain"
"nO3kpfkIrnoKRb4cizX0vg","Danico",43.6568521843797,-79.4074500356919,NA,4.5,13,1736.38508691938,"079","University","Bar","European","Single Location"
"xiJ6QkxxXkcRewctfhJneg","Coconut Grove",43.7768071916995,-79.3465729055884,NA,3.8,5,15819.3054012203,"047","Don Valley Village","Other","South Asian","Single Location"
"sOACp1Z6SOihe1HMzzqK5Q","Tiny Cafe",43.6407,-79.43815,NA,4.1,10,1391.21202843296,"086","Roncesvalles","Other","East Asian","Single Location"
"kR7DSZx4ufRKxFKTdhlRIg","Nozomi Fusion Kitchen",43.7270499,-79.4312769,"Medium",4.6,28,9096.14949748558,"039","Bedford Park-Nortown","Street Food","East Asian","Single Location"
"lIEahf71RLPJ_rFBJ5fqzQ","Sala Modern Thai Kitchen & Bar",43.6819991223223,-79.3307374790311,"Medium",4.5,217,8405.7442796603,"066","Danforth","Other","East Asian","Single Location"
"Dib3cIHWyDVKDZTMm580iQ","Rolltation",43.66939,-79.3867099,"Medium",4.1,49,3912.97795501734,"169","Bay-Cloverhill","Bar","East Asian","Medium Chain"
"XOkqRJBS6HwTVlrCACAZFw","Queen Mother Cafe",43.6503804,-79.3891296,"Medium",3.7,319,2718.32728791956,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"gVILTnDFDsVuVdxFVkRK7A","The Captain's Boil",43.6156501,-79.5587629,"Medium",3.8,82,11478.3054395018,"159","Etobicoke City Centre","Other","East Asian","Medium Chain"
"wl_owb-SQ2LvJdmAUcXCxw","SweetLulu",43.64651,-79.40821,"Medium",3.6,9,1133.86728333227,"081","Trinity-Bellwoods","Other","East Asian","Single Location"
"1KUrEW2O4xiyzej3G_T5ng","Moegi Sushi",43.6495978,-79.3655404,NA,4.2,10,4583.98213745455,"166","St Lawrence-East Bayfront-The Islands","Bar","East Asian","Single Location"
"wL5yGvlL1zXZ4EPJ8d0hIA","Rolltation",43.707588,-79.398147,"Medium",4,111,7167.08464769905,"173","North Toronto","Bar","East Asian","Medium Chain"
"QhAmKLX_0AgQe5HLxode9Q","Nakamori",43.73692,-79.24466,"High",4.1,123,17530.1838824494,"138","Eglinton East","Bar","East Asian","Single Location"
"v1M2DI3sATaUkHfZEuDStw","Ka Chi",43.65379,-79.39505,"Medium",3.2,126,2372.67009884689,"078","Kensington-Chinatown","Other","East Asian","Single Location"
"W32dIFI1_rnfO3gtMZhvMw","Vege Delight",43.655013,-79.3863578,NA,4.7,6,3080.81909953791,"170","Yonge-Bay Corridor","Other","East Asian","Single Location"
